avg_vol,avg_buy_vol,avg_value,perc_ret,avg_num_trades,anomaly,avg_num_orders
10788.1,7239.4,799551.62,9.55,15.0,0.0,23.0
20660.9,3998.9,999199.36,16.15,10.0,1.0,19.0
9042.9,2719.2,798902.43,15.66,14.0,0.0,22.0
9932.8,6838.5,799991.1,13.49,14.0,0.0,22.0
9739.8,6482.3,799325.33,6.32,14.0,0.0,21.0
10586.8,3335.6,800426.05,11.99,16.0,0.0,24.0
9647.8,189.2,799810.73,7.0,15.0,0.0,22.0
21032.6,14846.5,1001079.2,14.49,11.0,1.0,20.0
11841.9,7841.3,802863.03,12.35,18.0,0.0,27.0
9516.7,785.8,799891.72,4.18,19.0,0.0,26.0
19697.5,4308.8,1001722.44,15.6,10.0,1.0,19.0
9960.3,651.6,801494.51,17.99,16.0,0.0,25.0
18820.6,8479.6,1000771.07,12.61,11.0,1.0,19.0
9927.3,4674.8,799363.06,12.31,12.0,0.0,19.0
8568.7,3961.9,800558.5,6.85,12.0,0.0,18.0
20454.9,16139.5,998016.22,17.81,11.0,1.0,20.0
12102.9,3268.7,799011.81,12.53,15.0,0.0,23.0
9563.5,5156.4,799975.16,8.76,15.0,0.0,22.0
21182.2,15952.0,999696.39,15.51,9.0,1.0,18.0
11099.7,5348.6,801766.87,9.36,8.0,0.0,14.0
11596.6,8124.6,800030.47,0.33,14.0,0.0,20.0
9145.3,2269.1,802679.63,11.34,14.0,0.0,22.0
10427.6,590.2,800829.54,8.71,21.0,0.0,30.0
20712.4,16973.7,999149.23,14.01,9.0,1.0,17.0
7730.7,6061.0,799978.76,9.0,17.0,0.0,25.0
10543.0,4552.7,798615.1,12.54,14.0,0.0,22.0
9581.4,5654.6,800409.4,7.07,13.0,0.0,20.0
8904.0,5492.5,800589.06,8.16,18.0,0.0,26.0
9816.8,4595.1,798906.67,5.35,18.0,0.0,25.0
8833.0,5678.4,798836.27,18.21,14.0,0.0,23.0
11026.6,4091.6,798120.01,8.77,18.0,0.0,26.0
9151.4,3799.7,799961.79,13.57,11.0,0.0,18.0
10401.0,1660.7,800485.26,5.23,21.0,0.0,29.0
8508.6,2205.9,799529.95,10.15,9.0,0.0,15.0
10148.8,3558.7,801131.59,3.69,16.0,0.0,23.0
20649.7,16988.4,1000641.21,14.94,11.0,1.0,20.0
9675.8,7032.1,799849.37,9.39,16.0,0.0,24.0
9916.9,6738.4,799676.99,11.3,21.0,0.0,30.0
9459.0,4997.2,800818.8,7.93,14.0,0.0,21.0
10896.9,6520.6,799078.15,18.21,11.0,0.0,20.0
10013.8,5543.4,799387.51,18.42,15.0,0.0,24.0
11299.4,5733.2,800085.36,7.67,20.0,0.0,28.0
8764.1,6336.4,799857.78,4.21,22.0,0.0,30.0
8620.4,1376.4,799148.3,14.13,15.0,0.0,23.0
9452.0,5116.2,800965.25,9.2,15.0,0.0,22.0
9493.4,5696.0,800428.95,10.04,18.0,0.0,26.0
9164.3,6198.5,799778.56,18.36,16.0,0.0,25.0
10612.0,7688.6,799998.25,8.78,11.0,0.0,18.0
19037.4,4279.7,1000905.28,16.94,12.0,1.0,21.0
19178.5,14158.0,998858.61,14.74,9.0,1.0,17.0
10760.0,6081.7,798675.73,9.76,15.0,0.0,23.0
21789.0,16791.5,1000197.82,14.44,11.0,1.0,20.0
19770.9,14369.0,1000458.89,16.02,10.0,1.0,19.0
9271.3,5677.8,800767.76,9.37,14.0,0.0,21.0
10768.0,5851.1,801378.01,9.91,15.0,0.0,23.0
7588.7,4788.4,801765.96,14.18,14.0,0.0,22.0
10695.7,6862.1,798803.83,2.35,12.0,0.0,18.0
10055.6,4951.2,800601.89,8.68,13.0,0.0,20.0
10059.8,6234.8,800845.58,8.21,13.0,0.0,20.0
19987.6,13818.6,1003035.06,16.33,12.0,1.0,21.0
11264.9,6610.0,799521.69,8.51,11.0,0.0,18.0
9999.9,6666.6,801443.06,10.26,15.0,0.0,23.0
9498.3,537.6,800968.44,9.3,16.0,0.0,24.0
8703.3,3088.3,799042.07,2.04,15.0,0.0,21.0
10729.1,4735.2,800568.86,9.88,17.0,0.0,25.0
11899.8,8603.5,799439.57,17.05,12.0,0.0,21.0
10250.0,5996.9,799657.3,6.3,16.0,0.0,23.0
19632.6,14209.2,998354.13,12.97,6.0,1.0,13.0
9892.9,6573.1,801040.35,9.62,17.0,0.0,25.0
20748.7,10725.2,1000229.34,13.15,12.0,1.0,21.0
9731.8,5915.4,798945.29,11.17,16.0,0.0,24.0
10565.4,406.4,799160.36,1.59,11.0,0.0,16.0
9517.5,4200.5,798462.05,0.03,11.0,0.0,16.0
21361.4,14644.0,1000508.82,14.5,11.0,1.0,20.0
10923.2,6816.7,800190.18,6.89,21.0,0.0,29.0
10217.8,393.0,800899.36,11.4,10.0,0.0,17.0
8926.3,584.0,800233.09,6.08,13.0,0.0,19.0
