vwap,total_volume,liquidity_removed
115.8680917,8458,1367
116.1688736,10378,1799
116.0472133,10489,2570
115.8701542,9271,2364
116.0198848,10243,1699
116.139514,11975,2710
115.7780968,9631,2814
115.8593497,7397,802
116.1336474,10698,2134
116.1008291,10566,1628
116.0987751,11487,2121
115.8972871,8150,1971
115.8637595,9698,1608
116.159284,8534,2260
115.8688886,10338,1778
116.1136614,9349,1494
116.1938767,9356,1776
116.0136451,10809,1912
115.9462634,12110,3435
115.9470795,6153,1127
115.8426536,9715,1153
116.1364911,9778,3196
116.0438384,9259,2196
116.0539498,11322,2254
115.9255376,10687,648
116.0207069,8657,3163
116.1121374,10555,2515
116.0612448,10909,2096
115.903308,9752,2541
115.9680511,9580,1702
