,date_time,buyer,price,volume,liquidity_taker
0,2022-07-01 09:15:45,Trader 1,114.56,74,0
1,2022-07-01 09:16:43,Trader 1,115.39,83,1
2,2022-07-01 09:20:49,Trader 3,115.52,80,0
3,2022-07-01 09:21:30,Trader 3,116.75,138,1
4,2022-07-01 09:23:06,Trader 2,112.14,70,0
5,2022-07-01 09:25:17,Trader 4,114.77,179,1
6,2022-07-01 09:32:46,Trader 2,112.21,58,1
7,2022-07-01 09:34:19,Trader 2,111.58,44,1
8,2022-07-01 09:40:32,Trader 1,116.55,125,1
9,2022-07-01 09:41:05,Trader 4,117.07,152,0
10,2022-07-01 09:43:49,Trader 1,115.34,103,0
11,2022-07-01 09:44:28,Trader 2,111.49,55,0
12,2022-07-01 09:47:00,Trader 4,115.7,186,0
13,2022-07-01 09:48:20,Trader 1,115.25,87,0
14,2022-07-01 09:50:14,Trader 4,114.43,158,0
15,2022-07-01 09:52:09,Trader 4,116.85,261,0
16,2022-07-01 09:52:43,Trader 4,116.18,138,0
17,2022-07-01 09:58:42,Trader 2,112.63,40,0
18,2022-07-01 09:59:33,Trader 3,114.6,78,1
19,2022-07-01 09:59:43,Trader 1,118.03,103,0
20,2022-07-01 10:01:11,Trader 3,115.38,92,1
21,2022-07-01 10:02:31,Trader 1,116.3,109,1
22,2022-07-01 10:09:35,Trader 3,115.51,151,0
23,2022-07-01 10:10:08,Trader 2,112.38,54,0
24,2022-07-01 10:14:03,Trader 3,115.07,110,1
25,2022-07-01 10:17:09,Trader 4,117.44,174,0
26,2022-07-01 10:20:49,Trader 4,116.65,220,0
27,2022-07-01 10:22:51,Trader 4,116.15,207,0
28,2022-07-01 10:24:42,Trader 3,115.83,120,1
29,2022-07-01 10:26:40,Trader 2,112.07,63,0
30,2022-07-01 10:28:44,Trader 1,115.59,123,0
31,2022-07-01 10:29:14,Trader 2,112.79,35,1
32,2022-07-01 10:29:41,Trader 3,114.19,77,1
33,2022-07-01 10:30:06,Trader 2,111.79,53,1
34,2022-07-01 10:31:36,Trader 2,112.58,41,0
35,2022-07-01 10:32:00,Trader 2,113.01,57,1
36,2022-07-01 10:35:16,Trader 1,115.11,127,0
37,2022-07-01 10:35:54,Trader 2,112.7,45,1
38,2022-07-01 10:36:07,Trader 1,114.0,104,1
39,2022-07-01 10:36:34,Trader 1,114.82,80,0
40,2022-07-01 10:38:58,Trader 1,114.26,96,1
41,2022-07-01 10:39:11,Trader 1,117.27,110,1
42,2022-07-01 10:41:11,Trader 4,115.28,203,1
43,2022-07-01 10:41:50,Trader 1,116.28,97,1
44,2022-07-01 10:42:28,Trader 3,114.52,131,1
45,2022-07-01 10:45:18,Trader 2,113.82,50,1
46,2022-07-01 10:45:38,Trader 2,112.1,25,0
47,2022-07-01 10:46:36,Trader 1,116.99,85,1
48,2022-07-01 10:46:51,Trader 1,115.3,91,0
49,2022-07-01 10:48:38,Trader 1,116.1,79,0
50,2022-07-01 10:50:06,Trader 2,112.78,33,0
51,2022-07-01 10:51:57,Trader 1,114.8,121,1
52,2022-07-01 10:53:00,Trader 1,114.91,96,0
53,2022-07-01 10:54:55,Trader 3,114.98,122,0
54,2022-07-01 10:58:36,Trader 3,114.84,190,0
55,2022-07-01 10:59:28,Trader 3,114.5,161,1
56,2022-07-01 11:01:40,Trader 4,116.79,162,0
57,2022-07-01 11:07:09,Trader 2,111.79,46,0
58,2022-07-01 11:07:26,Trader 1,115.68,88,0
59,2022-07-01 11:09:51,Trader 1,116.55,96,0
60,2022-07-01 11:11:52,Trader 1,115.35,107,0
61,2022-07-01 11:11:58,Trader 1,116.09,104,0
62,2022-07-01 11:12:19,Trader 1,116.61,81,1
63,2022-07-01 11:13:35,Trader 4,116.67,185,0
64,2022-07-01 11:16:37,Trader 1,114.19,103,0
65,2022-07-01 11:19:50,Trader 4,115.18,206,1
66,2022-07-01 11:20:41,Trader 4,116.96,206,0
67,2022-07-01 11:20:45,Trader 2,111.61,56,0
68,2022-07-01 11:24:35,Trader 1,116.99,66,0
69,2022-07-01 11:27:51,Trader 1,115.68,100,1
70,2022-07-01 11:29:29,Trader 1,117.21,89,0
71,2022-07-01 11:30:57,Trader 1,117.53,114,0
72,2022-07-01 11:35:46,Trader 1,116.04,86,0
73,2022-07-01 11:36:43,Trader 2,112.26,48,0
74,2022-07-01 11:39:37,Trader 1,116.56,67,0
75,2022-07-01 11:40:14,Trader 4,117.75,215,1
76,2022-07-01 11:40:58,Trader 4,114.61,203,0
77,2022-07-01 11:44:40,Trader 4,116.19,210,0
78,2022-07-01 11:44:55,Trader 2,112.0,47,0
79,2022-07-01 11:46:04,Trader 1,114.94,146,0
80,2022-07-01 11:46:32,Trader 3,114.82,128,0
81,2022-07-01 11:48:51,Trader 4,115.41,174,0
82,2022-07-01 11:51:25,Trader 2,112.86,59,0
83,2022-07-01 11:51:46,Trader 3,113.45,97,1
84,2022-07-01 11:56:48,Trader 3,114.75,134,1
85,2022-07-01 11:58:02,Trader 2,111.09,51,1
86,2022-07-01 11:58:11,Trader 1,117.76,116,1
87,2022-07-01 11:59:09,Trader 2,111.49,46,1
88,2022-07-01 12:06:55,Trader 3,115.24,182,1
89,2022-07-01 12:08:21,Trader 1,115.05,107,1
90,2022-07-01 12:09:06,Trader 1,114.15,101,0
91,2022-07-01 12:10:33,Trader 1,115.17,109,0
92,2022-07-01 12:11:18,Trader 2,112.09,43,1
93,2022-07-01 12:16:30,Trader 3,114.97,133,1
94,2022-07-01 12:17:00,Trader 3,116.09,193,0
95,2022-07-01 12:17:04,Trader 3,116.67,70,0
96,2022-07-01 12:17:28,Trader 1,117.64,75,1
97,2022-07-01 12:18:43,Trader 2,113.14,41,1
98,2022-07-01 12:19:13,Trader 3,114.73,86,1
99,2022-07-01 12:21:31,Trader 1,115.7,98,1
100,2022-07-01 12:21:59,Trader 2,111.67,36,0
101,2022-07-01 12:22:52,Trader 4,116.93,186,0
102,2022-07-01 12:23:34,Trader 2,112.21,54,1
103,2022-07-01 12:23:40,Trader 1,114.87,99,1
104,2022-07-01 12:24:52,Trader 2,112.55,59,1
105,2022-07-01 12:28:33,Trader 3,114.98,90,1
