date_time,buyer,price,volume,liquidity_taker
01/07/22 9:15,Trader 1,114.56,,0.0
01/07/22 9:16,Trader 1,115.39,83.0,1.0
01/07/22 9:20,Trader 3,115.52,80.0,0.0
01/07/22 9:21,Trader 3,116.75,138.0,1.0
01/07/22 9:23,Trader 2,112.14,70.0,0.0
01/07/22 9:25,Trader 4,114.77,,1.0
01/07/22 9:32,Trader 2,112.21,58.0,1.0
01/07/22 9:34,Trader 2,111.58,44.0,1.0
01/07/22 9:40,Trader 1,116.55,,1.0
01/07/22 9:41,Trader 4,117.07,152.0,0.0
01/07/22 9:43,Trader 1,115.34,103.0,0.0
01/07/22 9:44,Trader 2,111.49,55.0,0.0
01/07/22 9:47,Trader 4,115.7,186.0,0.0
01/07/22 9:48,Trader 1,115.25,87.0,0.0
01/07/22 9:50,Trader 4,114.43,158.0,0.0
01/07/22 9:52,Trader 4,116.85,261.0,0.0
01/07/22 9:52,Trader 4,116.18,138.0,0.0
01/07/22 9:58,Trader 2,112.63,40.0,0.0
01/07/22 9:59,Trader 3,114.6,78.0,1.0
01/07/22 9:59,Trader 1,118.03,103.0,0.0
,Trader 3,115.38,92.0,1.0
01/07/22 10:02,Trader 1,116.3,109.0,1.0
01/07/22 10:09,Trader 3,115.51,151.0,0.0
01/07/22 10:10,Trader 2,112.38,54.0,0.0
01/07/22 10:14,Trader 3,115.07,110.0,1.0
01/07/22 10:17,Trader 4,117.44,174.0,0.0
01/07/22 10:20,Trader 4,116.65,,0.0
01/07/22 10:22,Trader 4,116.15,207.0,0.0
01/07/22 10:24,Trader 3,115.83,120.0,1.0
01/07/22 10:26,Trader 2,112.07,63.0,
,Trader 1,115.59,123.0,0.0
01/07/22 10:29,Trader 2,,35.0,1.0
01/07/22 10:29,Trader 3,114.19,77.0,1.0
01/07/22 10:30,Trader 2,111.79,,1.0
01/07/22 10:31,Trader 2,112.58,41.0,0.0
01/07/22 10:32,Trader 2,113.01,57.0,1.0
01/07/22 10:35,Trader 1,115.11,127.0,0.0
01/07/22 10:35,,112.7,45.0,1.0
01/07/22 10:36,Trader 1,114.0,104.0,1.0
01/07/22 10:36,Trader 1,114.82,80.0,0.0
01/07/22 10:38,Trader 1,114.26,96.0,1.0
01/07/22 10:39,Trader 1,117.27,110.0,1.0
01/07/22 10:41,Trader 4,115.28,203.0,1.0
01/07/22 10:41,Trader 1,116.28,97.0,1.0
01/07/22 10:42,Trader 3,114.52,131.0,1.0
01/07/22 10:45,Trader 2,113.82,50.0,1.0
01/07/22 10:45,Trader 2,112.1,25.0,0.0
01/07/22 10:46,Trader 1,116.99,85.0,
01/07/22 10:46,Trader 1,115.3,91.0,0.0
01/07/22 10:48,Trader 1,116.1,79.0,
,Trader 2,112.78,33.0,0.0
01/07/22 10:51,Trader 1,,121.0,1.0
01/07/22 10:53,Trader 1,114.91,96.0,0.0
01/07/22 10:54,Trader 3,114.98,122.0,0.0
01/07/22 10:58,Trader 3,114.84,190.0,0.0
01/07/22 10:59,Trader 3,,161.0,1.0
01/07/22 11:01,Trader 4,116.79,162.0,0.0
01/07/22 11:07,Trader 2,111.79,46.0,0.0
01/07/22 11:07,Trader 1,115.68,88.0,0.0
01/07/22 11:09,Trader 1,,96.0,0.0
,Trader 1,115.35,,0.0
01/07/22 11:11,Trader 1,116.09,104.0,0.0
01/07/22 11:12,Trader 1,116.61,81.0,1.0
01/07/22 11:13,Trader 4,116.67,185.0,0.0
01/07/22 11:16,Trader 1,114.19,103.0,0.0
01/07/22 11:19,Trader 4,115.18,206.0,1.0
01/07/22 11:20,Trader 4,116.96,206.0,0.0
01/07/22 11:20,Trader 2,111.61,56.0,0.0
01/07/22 11:24,Trader 1,116.99,66.0,0.0
01/07/22 11:27,Trader 1,115.68,100.0,1.0
01/07/22 11:29,Trader 1,117.21,89.0,0.0
01/07/22 11:30,Trader 1,117.53,114.0,0.0
